_id,airline,flightNumber,flightDate,message,version
05cf6c6d-6a12-4f24-aaea-d07dba6e08e2,AY,4328,2023-07-11,Don't forget to fuel.,1
b417479a-c84c-44c8-8939-7ee0df892423,AY,8197,2023-02-13,Don't forget to fuel.,1
63295448-5659-4414-bb46-2f0759cae927,AY,6999,2024-05-06,Don't forget to fuel.,1
78b5eb32-ea39-4264-8df3-8b33468f3e3c,AY,6796,2024-08-23,Don't forget to fuel.,1
0bfeb4cf-3d51-4f11-bb1c-252d095e624e,AY,3241,2023-11-04,Don't forget to fuel.,1
f31dc4a2-e9b0-42dd-8b68-6f1b0f601d57,AY,7094,2023-10-02,Don't forget to fuel.,1
a150442a-6a39-4b6c-84fc-9838e70cf1e0,AY,4743,2024-08-24,Don't forget to fuel.,1
3c8f058d-99bb-4f9e-9e58-08e0934bc096,AY,7933,2023-04-30,Don't forget to fuel.,1
d8ae1cd7-cff5-4949-8d85-729ccb642d5c,AY,4776,2024-01-03,Don't forget to fuel.,1
eb16a953-e9ff-4681-9770-ecd347a54b64,AY,6048,2023-10-15,Don't forget to fuel.,1
e9507bcd-f7de-4891-b133-9736d9e7b3a2,AY,3348,2024-02-25,Don't forget to fuel.,1
ddbe96ef-28db-49e5-b2d3-d1a83835c36f,AY,3657,2023-09-05,Don't forget to fuel.,1
be6f255f-ba1f-42e2-bdc8-e805bcd93e4a,AY,4475,2023-08-18,Don't forget to fuel.,1
9075b1da-4c73-4e60-bfa6-36797fa0787c,AY,1002,2024-03-04,Don't forget to fuel.,1
32136bfe-128c-4430-91e2-f6948e7adcf6,AY,1912,2023-08-14,Don't forget to fuel.,1
dc36dbe9-9b25-432f-b913-ff7d04a9ddc3,AY,4173,2024-08-21,Don't forget to fuel.,1
be56690b-def4-4b8a-b6b9-80b8ccc8091c,AY,9417,2023-12-03,Don't forget to fuel.,1
7b797b34-ce59-4fd4-a034-2a74a1c978aa,AY,7734,2023-11-28,Don't forget to fuel.,1
000b51a5-39c1-4bfa-839f-e11f09589eee,AY,7236,2024-03-18,Don't forget to fuel.,1
a1a127fd-1751-4179-b5c3-8a23dbf858ea,AY,3208,2023-10-11,Don't forget to fuel.,1
ac931cac-c709-407e-b928-3afca8b692ff,AY,3301,2024-03-27,Don't forget to fuel.,1
74483067-b50d-419d-9950-b35b96f8ac5a,AY,5901,2024-06-07,Don't forget to fuel.,1
b8c80a7e-75ce-4d9e-b150-4cbdaf9d2957,AY,1182,2024-12-26,Don't forget to fuel.,1
30ba86da-2804-4cda-9efb-df6586c6cb5a,AY,2560,2024-07-02,Don't forget to fuel.,1
848382de-f022-43a5-aa15-41875cf636fb,AY,9212,2023-04-12,Don't forget to fuel.,1
d7fc31ea-72e4-4535-8b67-39372af2d637,AY,7741,2024-09-08,Don't forget to fuel.,1
d4d3ebd4-5aec-481d-af38-550e982338aa,AY,0285,2024-05-05,Don't forget to fuel.,1
fc232bf8-0496-4ee6-a23f-32142645c51d,AY,2147,2024-12-08,Don't forget to fuel.,1
6780f569-a7a5-463f-b8f2-63b25ab1f876,AY,8755,2024-01-30,Don't forget to fuel.,1
83b171ed-f348-46ac-a3f8-0c454355eece,AY,2261,2023-05-02,Don't forget to fuel.,1
f15b7adf-8476-48da-8f37-7ea3ce44549b,AY,3566,2024-11-12,Don't forget to fuel.,1
349db565-8a22-42f5-86c5-50101a672273,AY,7077,2024-02-15,Don't forget to fuel.,1
085e2cf5-a262-4b7e-afff-f4ae192a0cb1,AY,4017,2023-12-20,Don't forget to fuel.,1
f903ba15-d36d-4cad-9480-6fb79b9a8079,AY,7306,2023-01-25,Don't forget to fuel.,1
3dc45712-b91a-42aa-b318-98e878806279,AY,3158,2023-12-29,Don't forget to fuel.,1
d6eaf309-d4a2-4e28-99ea-028c9cf8bede,AY,5944,2024-04-28,Don't forget to fuel.,1
cdcd52ce-fd7a-4da0-b54e-4e6abb55d721,AY,0336,2023-04-23,Don't forget to fuel.,1
df698606-d702-4c2f-83e0-8d7c44a227fb,AY,3609,2024-02-21,Don't forget to fuel.,1
c17e8007-f521-4f7e-a172-996bcc5a30e7,AY,7942,2023-03-06,Don't forget to fuel.,1
54d59177-f917-43c2-a726-88b4bfc93f36,AY,8078,2023-06-30,Don't forget to fuel.,1
5e96478d-fe19-47af-a67d-d6369efbcbd2,AY,2588,2023-03-08,Don't forget to fuel.,1
f3112ea2-afb9-447c-bdde-a0f4c76f0feb,AY,0655,2024-05-19,Don't forget to fuel.,1
633bd1a9-9328-48f1-b2e7-6614f50c348c,AY,6463,2024-08-10,Don't forget to fuel.,1
b6f7a301-dfe8-4f8b-a208-c991e4551ff9,AY,0866,2024-09-30,Don't forget to fuel.,1
